Zone,Population_animal,Neutered_%,Orgs_Count,Hospitals_Count,Human_Accidents_2018_20,Human_Population,Police_Stations,Households
Bengaluru East,37685,71.75,2,4,1031,1684175,18,937137
Bommanahalli,39183,72.18,2,28,1314,1980906,23,236934
Bengaluru South,23441,77.32,2,11,1726,1819797,42,427494
Bengaluru West,22025,79.48,2,11,2023,2155992,36,1607099
Dasarahalli,21221,77.46,2,11,1537,1465804,21,270759
Mahadevapura,56371,59.34,2,11,1795,1788991,26,291261
R R Nagar,41268,67.64,2,10,418,742411,18,109036
Yelahanka,36343,66.5,2,18,2284,545799,8,134271
